agent_type,train_seed,training_episodes,eval_episodes,eval_seed,q_states,win_rate,loss_rate,push_rate,average_reward
baseline,1,10000000,100000,24680,280,0.4269,0.48264,0.09046,-0.05574
baseline,1,20000000,100000,24680,280,0.42686,0.47723,0.09591,-0.05037
baseline,1,30000000,100000,24680,280,0.42919,0.47989,0.09092,-0.0507
baseline,1,40000000,100000,24680,280,0.42745,0.47891,0.09364,-0.05146
baseline,1,50000000,100000,24680,280,0.42791,0.48039,0.0917,-0.05248
baseline,1,60000000,100000,24680,280,0.43212,0.47395,0.09393,-0.04183
baseline,1,70000000,100000,24680,280,0.42986,0.47575,0.09439,-0.04589
baseline,1,80000000,100000,24680,280,0.42872,0.48063,0.09065,-0.05191
baseline,1,90000000,100000,24680,280,0.43049,0.47511,0.0944,-0.04462
baseline,1,100000000,100000,24680,280,0.42966,0.47641,0.09393,-0.04675
baseline,42,10000000,100000,24680,280,0.43003,0.47641,0.09356,-0.04638
baseline,42,20000000,100000,24680,280,0.43116,0.47734,0.0915,-0.04618
baseline,42,30000000,100000,24680,280,0.42849,0.48008,0.09143,-0.05159
baseline,42,40000000,100000,24680,280,0.42751,0.4771,0.09539,-0.04959
baseline,42,50000000,100000,24680,280,0.42814,0.47816,0.0937,-0.05002
baseline,42,60000000,100000,24680,280,0.42681,0.48194,0.09125,-0.05513
baseline,42,70000000,100000,24680,280,0.42788,0.47965,0.09247,-0.05177
baseline,42,80000000,100000,24680,280,0.42807,0.4777,0.09423,-0.04963
baseline,42,90000000,100000,24680,280,0.42498,0.47893,0.09609,-0.05395
baseline,42,100000000,100000,24680,280,0.42799,0.48006,0.09195,-0.05207
baseline,123,10000000,100000,24680,280,0.42984,0.47744,0.09272,-0.0476
baseline,123,20000000,100000,24680,280,0.42682,0.47745,0.09573,-0.05063
baseline,123,30000000,100000,24680,280,0.42672,0.47815,0.09513,-0.05143
baseline,123,40000000,100000,24680,280,0.42745,0.47854,0.09401,-0.05109
baseline,123,50000000,100000,24680,280,0.42656,0.47971,0.09373,-0.05315
baseline,123,60000000,100000,24680,280,0.43013,0.48265,0.08722,-0.05252
baseline,123,70000000,100000,24680,280,0.42856,0.4775,0.09394,-0.04894
baseline,123,80000000,100000,24680,280,0.43304,0.47542,0.09154,-0.04238
baseline,123,90000000,100000,24680,280,0.42753,0.47854,0.09393,-0.05101
baseline,123,100000000,100000,24680,280,0.42842,0.48087,0.09071,-0.05245
counting,1,10000000,100000,24680,104103,0.42677,0.48496,0.08827,-0.05819
counting,1,20000000,100000,24680,108451,0.42805,0.47958,0.09237,-0.05153
counting,1,30000000,100000,24680,110256,0.4257,0.48129,0.09301,-0.05559
counting,1,40000000,100000,24680,111326,0.42971,0.47809,0.0922,-0.04838
counting,1,50000000,100000,24680,112038,0.42655,0.48142,0.09203,-0.05487
counting,1,60000000,100000,24680,112504,0.42771,0.47958,0.09271,-0.05187
counting,1,70000000,100000,24680,112917,0.4254,0.48017,0.09443,-0.05477
counting,1,80000000,100000,24680,113268,0.42862,0.47766,0.09372,-0.04904
counting,1,90000000,100000,24680,113512,0.43138,0.47453,0.09409,-0.04315
counting,1,100000000,100000,24680,113744,0.42945,0.47522,0.09533,-0.04577
counting,42,10000000,100000,24680,104068,0.42931,0.48053,0.09016,-0.05122
counting,42,20000000,100000,24680,108486,0.4281,0.48052,0.09138,-0.05242
counting,42,30000000,100000,24680,110260,0.42589,0.48157,0.09254,-0.05568
counting,42,40000000,100000,24680,111269,0.4279,0.48085,0.09125,-0.05295
counting,42,50000000,100000,24680,111949,0.42949,0.47909,0.09142,-0.0496
counting,42,60000000,100000,24680,112506,0.42867,0.47792,0.09341,-0.04925
counting,42,70000000,100000,24680,112909,0.43064,0.47713,0.09223,-0.04649
counting,42,80000000,100000,24680,113236,0.42627,0.48024,0.09349,-0.05397
counting,42,90000000,100000,24680,113518,0.42698,0.4788,0.09422,-0.05182
counting,42,100000000,100000,24680,113769,0.4292,0.47757,0.09323,-0.04837
counting,123,10000000,100000,24680,104141,0.42607,0.48496,0.08897,-0.05889
counting,123,20000000,100000,24680,108451,0.42874,0.48135,0.08991,-0.05261
counting,123,30000000,100000,24680,110225,0.4302,0.47937,0.09043,-0.04917
counting,123,40000000,100000,24680,111250,0.42729,0.48137,0.09134,-0.05408
counting,123,50000000,100000,24680,111975,0.42773,0.48034,0.09193,-0.05261
counting,123,60000000,100000,24680,112515,0.43009,0.47743,0.09248,-0.04734
counting,123,70000000,100000,24680,112935,0.42788,0.47908,0.09304,-0.0512
counting,123,80000000,100000,24680,113264,0.43042,0.47624,0.09334,-0.04582
counting,123,90000000,100000,24680,113529,0.42964,0.47752,0.09284,-0.04788
counting,123,100000000,100000,24680,113767,0.42676,0.48026,0.09298,-0.0535
