eval_run,source,episodes,win_rate,loss_rate,push_rate,average_reward,std_reward,action_distribution,agent_name,agent_type,train_seed,eval_seed
baseline-1__eval_seed_1234,20260608_170145_baseline-1_agent,1000000,0.426643,0.47856,0.094797,-0.051917,0.950004013207839,"{'stand': 811303, 'hit': 759116}",baseline-1,baseline,1,1234
baseline-1__eval_seed_4321,20260608_170145_baseline-1_agent,1000000,0.426657,0.478505,0.094838,-0.051848,0.9499862024766466,"{'stand': 811254, 'hit': 759123}",baseline-1,baseline,1,4321
baseline-1__eval_seed_9876,20260608_170145_baseline-1_agent,1000000,0.426678,0.478546,0.094776,-0.051868,0.9500177422427436,"{'stand': 811237, 'hit': 759343}",baseline-1,baseline,1,9876
counting-1__eval_seed_1234,20260608_170145_counting-1_agent,1000000,0.428452,0.477823,0.093725,-0.049371,0.9507036890424903,"{'stand': 816223, 'hit': 745544}",counting-1,counting,1,1234
counting-1__eval_seed_4321,20260608_170145_counting-1_agent,1000000,0.428506,0.477801,0.093693,-0.049295,0.9507244621734522,"{'stand': 816239, 'hit': 745548}",counting-1,counting,1,4321
counting-1__eval_seed_9876,20260608_170145_counting-1_agent,1000000,0.428423,0.477842,0.093735,-0.049419,0.9506959358485761,"{'stand': 816229, 'hit': 745706}",counting-1,counting,1,9876
baseline-42__eval_seed_1234,20260608_170145_baseline-42_agent,1000000,0.427596,0.47945,0.092954,-0.051854,0.9509769517101874,"{'stand': 812838, 'hit': 739225}",baseline-42,baseline,42,1234
baseline-42__eval_seed_4321,20260608_170145_baseline-42_agent,1000000,0.427577,0.479449,0.092974,-0.051872,0.950965454480866,"{'stand': 812848, 'hit': 739186}",baseline-42,baseline,42,4321
baseline-42__eval_seed_9876,20260608_170145_baseline-42_agent,1000000,0.427579,0.479471,0.09295,-0.051892,0.9509769820221728,"{'stand': 812793, 'hit': 739087}",baseline-42,baseline,42,9876
counting-42__eval_seed_1234,20260608_170145_counting-42_agent,1000000,0.428624,0.477791,0.093585,-0.049167,0.9507878870237041,"{'stand': 817631, 'hit': 740499}",counting-42,counting,42,1234
counting-42__eval_seed_4321,20260608_170145_counting-42_agent,1000000,0.428596,0.477811,0.093593,-0.049215,0.9507811965825786,"{'stand': 817618, 'hit': 740464}",counting-42,counting,42,4321
counting-42__eval_seed_9876,20260608_170145_counting-42_agent,1000000,0.428602,0.477853,0.093545,-0.049251,0.9508045745572536,"{'stand': 817632, 'hit': 740436}",counting-42,counting,42,9876
baseline-123__eval_seed_1234,20260608_170145_baseline-123_agent,1000000,0.428204,0.479052,0.092744,-0.050848,0.9511416723580142,"{'stand': 813621, 'hit': 750625}",baseline-123,baseline,123,1234
baseline-123__eval_seed_4321,20260608_170145_baseline-123_agent,1000000,0.428083,0.479083,0.092834,-0.051,0.9510862211177281,"{'stand': 813624, 'hit': 750674}",baseline-123,baseline,123,4321
baseline-123__eval_seed_9876,20260608_170145_baseline-123_agent,1000000,0.428146,0.479103,0.092751,-0.050957,0.9511321591403584,"{'stand': 813579, 'hit': 750689}",baseline-123,baseline,123,9876
counting-123__eval_seed_1234,20260608_170145_counting-123_agent,1000000,0.427902,0.478641,0.093457,-0.050739,0.9507726089233955,"{'stand': 817265, 'hit': 740757}",counting-123,counting,123,1234
counting-123__eval_seed_4321,20260608_170145_counting-123_agent,1000000,0.427916,0.47866,0.093424,-0.050744,0.9507896962336099,"{'stand': 817251, 'hit': 740840}",counting-123,counting,123,4321
counting-123__eval_seed_9876,20260608_170145_counting-123_agent,1000000,0.427948,0.478654,0.093398,-0.050706,0.9508053962636098,"{'stand': 817221, 'hit': 740881}",counting-123,counting,123,9876
