agent_name,agent_type,train_seed,source,comparison_id,bucket,episodes,wins,losses,pushes,reward_sum,stand_actions,hit_actions,average_reward,win_rate,loss_rate,push_rate,stand_rate,hit_rate
baseline-1,baseline,1,20260608_170145_baseline-1_agent,baseline-1 | 20260608_170145_baseline-1_agent,<= -3,279271,121589,129607,28075,-8018.0,225790,198207,-0.028710464029562684,0.43537997142560453,0.4640904354551672,0.10052959311922828,0.5325273527878736,0.4674726472121265
baseline-1,baseline,1,20260608_170145_baseline-1_agent,baseline-1 | 20260608_170145_baseline-1_agent,-2 to 0,1909103,816426,908506,184171,-92080.0,1538209,1419105,-0.04823207548256956,0.4276490058420106,0.4758810813245802,0.0964699128334092,0.5201371920600923,0.47986280793990765
baseline-1,baseline,1,20260608_170145_baseline-1_agent,baseline-1 | 20260608_170145_baseline-1_agent,1 to 2,548264,230904,268461,48899,-37557.0,451936,446200,-0.06850167072797046,0.42115477215356106,0.48965644288153154,0.08918878496490741,0.5031932803049872,0.4968067196950128
baseline-1,baseline,1,20260608_170145_baseline-1_agent,baseline-1 | 20260608_170145_baseline-1_agent,>= 3,263362,111048,129051,23263,-18003.0,217857,214084,-0.06835838123951063,0.42165536409960436,0.49001374533911496,0.08833089056128067,0.5043674946346839,0.4956325053653161
counting-1,counting,1,20260608_170145_counting-1_agent,counting-1 | 20260608_170145_counting-1_agent,<= -3,277910,120334,129323,28253,-8989.0,218286,206601,-0.03234500377820158,0.43299629376416826,0.46534129754236986,0.10166240869346191,0.5137507148959606,0.4862492851040394
counting-1,counting,1,20260608_170145_counting-1_agent,counting-1 | 20260608_170145_counting-1_agent,-2 to 0,1907050,818464,905731,182855,-87267.0,1537648,1419504,-0.045760205553079365,0.42917804986759656,0.4749382554206759,0.09588369471172754,0.5199759768858686,0.48002402311413145
counting-1,counting,1,20260608_170145_counting-1_agent,counting-1 | 20260608_170145_counting-1_agent,1 to 2,548355,232955,267491,47909,-34536.0,461640,423514,-0.06298109801132477,0.4248251588842994,0.4878062568956242,0.08736858422007641,0.5215363654234179,0.47846363457658214
counting-1,counting,1,20260608_170145_counting-1_agent,counting-1 | 20260608_170145_counting-1_agent,>= 3,266685,113732,130846,22107,-17114.0,231215,187172,-0.06417308810019311,0.4264656804844667,0.4906387685846598,0.0828955509308735,0.5526342835699962,0.4473657164300038
baseline-42,baseline,42,20260608_170145_baseline-42_agent,baseline-42 | 20260608_170145_baseline-42_agent,<= -3,272704,119745,126083,26876,-6338.0,221517,186300,-0.023241316592349213,0.4391024700774466,0.4623437866697958,0.09855374325275756,0.5431774545936044,0.4568225454063955
baseline-42,baseline,42,20260608_170145_baseline-42_agent,baseline-42 | 20260608_170145_baseline-42_agent,-2 to 0,1911616,817978,912252,181386,-94274.0,1544406,1382796,-0.04931638990257457,0.4278986993203656,0.47721508922294015,0.09488621145669424,0.52760485952114,0.47239514047886
baseline-42,baseline,42,20260608_170145_baseline-42_agent,baseline-42 | 20260608_170145_baseline-42_agent,1 to 2,553161,233825,271271,48065,-37446.0,455100,439939,-0.06769457716650307,0.4227069515023655,0.49040152866886855,0.08689151982876595,0.5084694633418209,0.49153053665817914
baseline-42,baseline,42,20260608_170145_baseline-42_agent,baseline-42 | 20260608_170145_baseline-42_agent,>= 3,262519,111270,128646,22603,-17376.0,217501,208427,-0.06618949485561045,0.4238550352545911,0.49004453011020155,0.08610043463520736,0.5106520350857422,0.4893479649142578
counting-42,counting,42,20260608_170145_counting-42_agent,counting-42 | 20260608_170145_counting-42_agent,<= -3,272308,117863,126697,27748,-8834.0,213879,203599,-0.03244120628112285,0.4328297369155515,0.46527094319667434,0.10189931988777413,0.5123120260229281,0.48768797397707186
counting-42,counting,42,20260608_170145_counting-42_agent,counting-42 | 20260608_170145_counting-42_agent,-2 to 0,1910497,820568,907036,182893,-86468.0,1543220,1406614,-0.04525942725898025,0.4295049926799152,0.47476441993889545,0.0957305873811893,0.5231548622736059,0.4768451377263941
counting-42,counting,42,20260608_170145_counting-42_agent,counting-42 | 20260608_170145_counting-42_agent,1 to 2,552462,234399,270079,47984,-35680.0,464990,425088,-0.06458362747121069,0.4242807650118922,0.4888643924831029,0.08685484250500487,0.522414889481596,0.477585110518404
counting-42,counting,42,20260608_170145_counting-42_agent,counting-42 | 20260608_170145_counting-42_agent,>= 3,264733,112977,129642,22114,-16665.0,230797,186113,-0.06295021776657991,0.4267582809849924,0.48970849875157235,0.08353322026343524,0.5535895037298217,0.4464104962701782
baseline-123,baseline,123,20260608_170145_baseline-123_agent,baseline-123 | 20260608_170145_baseline-123_agent,<= -3,275023,119593,128359,27071,-8766.0,223740,192764,-0.03187369783618097,0.43484726731946055,0.46672096515564154,0.09843176752489792,0.5371857173040355,0.46281428269596453
baseline-123,baseline,123,20260608_170145_baseline-123_agent,baseline-123 | 20260608_170145_baseline-123_agent,-2 to 0,1906214,817545,908726,179943,-91181.0,1542229,1395945,-0.04783355908623061,0.4288841651566928,0.4767177242429234,0.09439811060038379,0.5248936924770282,0.4751063075229717
baseline-123,baseline,123,20260608_170145_baseline-123_agent,baseline-123 | 20260608_170145_baseline-123_agent,1 to 2,551576,233999,269225,48352,-35226.0,454497,446724,-0.0638642725571816,0.4242370951600505,0.48810136771723206,0.08766153712271745,0.5043124827317605,0.4956875172682394
baseline-123,baseline,123,20260608_170145_baseline-123_agent,baseline-123 | 20260608_170145_baseline-123_agent,>= 3,267187,113140,131009,23038,-17869.0,220343,216685,-0.06687825380725859,0.42344874563507956,0.49032699944233815,0.08622425492258232,0.5041850865390776,0.49581491346092244
counting-123,counting,123,20260608_170145_counting-123_agent,counting-123 | 20260608_170145_counting-123_agent,<= -3,282071,122367,130892,28812,-8525.0,222322,209216,-0.030222887145435015,0.4338163086598764,0.46403919580531144,0.10214449553481215,0.5151852212319656,0.48481477876803436
counting-123,counting,123,20260608_170145_counting-123_agent,counting-123 | 20260608_170145_counting-123_agent,-2 to 0,1906291,816243,908158,181890,-91915.0,1538868,1405204,-0.04821666786445511,0.42818383971807034,0.47640050758252545,0.09541565269940423,0.5227005317804727,0.47729946821952723
counting-123,counting,123,20260608_170145_counting-123_agent,counting-123 | 20260608_170145_counting-123_agent,1 to 2,548814,232990,267939,47885,-34949.0,461284,425081,-0.06368095566075209,0.4245336307018407,0.4882145863625928,0.08725178293556651,0.5204221737094763,0.47957782629052365
counting-123,counting,123,20260608_170145_counting-123_agent,counting-123 | 20260608_170145_counting-123_agent,>= 3,262824,112166,128955,21703,-16789.0,229284,182954,-0.06387924999239035,0.42677228867987704,0.49065153867226735,0.0825761726478556,0.5561932669962497,0.4438067330037503
