source,bucket,episodes,wins,losses,pushes,reward_sum,win_rate,loss_rate,push_rate,average_reward,stand_actions,hit_actions,stand_rate,hit_rate,agent_name,agent_type,train_seed,eval_seed,comparison_id
20260608_170145_baseline-1_agent,<= -3,93078,40525,43194,9359,-2669.0,0.43538752444186596,0.4640623992780249,0.10055007628010916,-0.02867487483615892,75261,66058,0.5325610852043957,0.4674389147956043,baseline-1,baseline,1,1234,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_baseline-1_agent,-2 to 0,636097,271998,302734,61365,-30736.0,0.4276045948966903,0.47592426941174065,0.09647113569156905,-0.04831967451505038,512502,472768,0.5201640159550174,0.47983598404498257,baseline-1,baseline,1,1234,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_baseline-1_agent,1 to 2,183001,77123,89568,16310,-12445.0,0.4214348555472374,0.4894399484155824,0.08912519603718012,-0.06800509286834498,150885,148904,0.5033039904732995,0.49669600952670045,baseline-1,baseline,1,1234,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_baseline-1_agent,>= 3,87824,36996,43065,7763,-6069.0,0.42125159409728546,0.4903557114228457,0.08839269447986883,-0.06910411732556021,72654,71383,0.504412060789936,0.49558793921006405,baseline-1,baseline,1,1234,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_baseline-1_agent,<= -3,93085,40526,43194,9365,-2668.0,0.4353655261320299,0.4640275017457163,0.10060697212225385,-0.028661975613686417,75278,66037,0.5326964582669922,0.4673035417330078,baseline-1,baseline,1,4321,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_baseline-1_agent,-2 to 0,636397,272166,302811,61420,-30645.0,0.42766700660122536,0.4758209105322621,0.09651208286651257,-0.04815390393103676,512740,473047,0.5201326452874708,0.47986735471252917,baseline-1,baseline,1,4321,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_baseline-1_agent,1 to 2,182774,76960,89512,16302,-12552.0,0.42106645365314543,0.4897414293061376,0.08919211704071695,-0.06867497565299222,150645,148713,0.5032269055779368,0.4967730944220632,baseline-1,baseline,1,4321,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_baseline-1_agent,>= 3,87744,36998,42992,7754,-5994.0,0.4216584609773888,0.4899708242159008,0.08837071480671042,-0.06831236323851203,72593,71332,0.5043807538648601,0.49561924613513986,baseline-1,baseline,1,4321,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_baseline-1_agent,<= -3,93108,40538,43219,9351,-2681.0,0.43538686256820036,0.46418138076212573,0.10043175666967392,-0.028794518193925336,75251,66112,0.5323245828116268,0.4676754171883732,baseline-1,baseline,1,9876,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_baseline-1_agent,-2 to 0,636609,272262,302961,61386,-30699.0,0.42767538630462343,0.47589807872650247,0.09642653496887414,-0.04822269242187905,512967,473290,0.5201149396151308,0.4798850603848693,baseline-1,baseline,1,9876,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_baseline-1_agent,1 to 2,182489,76821,89381,16287,-12560.0,0.42096235937508564,0.48978842560373503,0.08924921502117936,-0.0688260662286494,150406,148583,0.503048607139393,0.4969513928606069,baseline-1,baseline,1,9876,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_baseline-1_agent,>= 3,87794,37054,42994,7746,-5940.0,0.4220561769597011,0.4897145590814862,0.08822926395881267,-0.06765838212178509,72610,71369,0.504309656269317,0.49569034373068294,baseline-1,baseline,1,9876,baseline-1 | 20260608_170145_baseline-1_agent
20260608_170145_counting-1_agent,<= -3,92885,40245,43206,9434,-2961.0,0.4332777089949938,0.4651558378640254,0.10156645314098078,-0.031878128869031595,72946,69062,0.5136752858993859,0.48632471410061406,counting-1,counting,1,1234,counting-1 | 20260608_170145_counting-1_agent
20260608_170145_counting-1_agent,-2 to 0,635676,272820,301917,60939,-29097.0,0.4291809034791309,0.47495422196213166,0.09586487455873748,-0.04577331848300077,512583,473125,0.5200150551684677,0.47998494483153226,counting-1,counting,1,1234,counting-1 | 20260608_170145_counting-1_agent
20260608_170145_counting-1_agent,1 to 2,182580,77574,89049,15957,-11475.0,0.4248767663489977,0.48772592836017087,0.08739730529083142,-0.06284916201117319,153723,141004,0.5215775955375652,0.4784224044624347,counting-1,counting,1,1234,counting-1 | 20260608_170145_counting-1_agent
20260608_170145_counting-1_agent,>= 3,88859,37888,43596,7375,-5708.0,0.42638337140863614,0.4906199709652371,0.08299665762612679,-0.06423659955660091,77023,62326,0.5527345011446081,0.44726549885539185,counting-1,counting,1,1234,counting-1 | 20260608_170145_counting-1_agent
20260608_170145_counting-1_agent,<= -3,92706,40143,43137,9426,-2994.0,0.43301404439842084,0.4653096886932885,0.10167626690829072,-0.03229564429486765,72812,68913,0.5137555124360558,0.4862444875639443,counting-1,counting,1,4321,counting-1 | 20260608_170145_counting-1_agent
